Name;Date;Level;Rows
Tom;11.11.2022;3;11
Tom;07.12.2022;3;7
Tom;07.12.2022;3;8
Tina;05.01.2023;4;11
Tina;05.01.2023;4;9
Tina;06.01.2023;4;8
kaffeeliesel711;04.02.2023;5;19
kaffeeliesel711;04.02.2023;3;4
kaffeeliesel711;04.02.2023;3;8
Daniela;19.04.2023;5;9
Anonymous Koala;20.04.2023;4;11
Daniela;20.04.2023;3;5
Daniela;20.04.2023;3;6
Daniela;20.04.2023;3;7
Daniela;20.04.2023;3;9
Anonymous Koala;20.04.2023;4;6
Anonymous Koala;20.04.2023;4;6
Anonymous Koala;20.04.2023;3;7
Daniela;20.04.2023;4;8
$F%ig?";20.04.2023;3;8
$F%ig?";20.04.2023;3;9
🌧️🍍🎻;20.04.2023;3;5
kaffeeliesel711;20.04.2023;3;10
kaffeeliesel711;20.04.2023;3;12
Anonymous Koala;20.04.2023;3;13
Anonymous Koala;20.04.2023;3;8
$F%ig?";20.04.2023;3;6
Anonymous Koala;20.04.2023;4;11
Anonymous Koala;20.04.2023;4;12
Anonymous Koala;20.04.2023;3;6
Anonymous Koala;20.04.2023;4;34
Daniela;21.04.2023;4;13
Daniela;21.04.2023;4;1
Daniela;21.04.2023;3;8
Daniela;21.04.2023;5;14
Daniela;21.04.2023;4;5
kaffeeliesel711;21.04.2023;3;5
kaffeeliesel711;21.04.2023;3;7
Daniela;21.04.2023;4;8
Daniela;21.04.2023;4;5
Anonymous Koala;30.04.2023;4;8
Anonymous Koala;02.05.2023;4;5
